id,product_name,department_name,price,stock_quantity
31,"MIDI Keyboard",Music,44.50000,26
32,"A Strand of Taylor Swifts hair",Corny,101.39000,5
33,"Used Dirty Bike","Sports & Recreation",55.38000,30
34,"A Houston Coding Bootcamp","Books & Education",1.00000,5
35,"Majin Buu's Workout Regime","Sports & Recreation",420.34000,10
36,"Vinyl Player",Music,257.68000,20
37,"I Still Know What You Did Last Summer","Movies & Television",1.99000,18
38,"Gliese 581g","Stars and Planets",99939.84000,25
39,Juicy,Other,5.99000,6
40,"Hockey Puck","Sports & Recreation",67.48000,22
41,socks,clothing,9.99000,20
42,Pants,clothing,59.99000,10
43,"Huge Dog Poster","Pictures and Stuff",1.00000,150
44,"Pharrel's Ugly Hat",clothing,45.00000,30
45,""Mad" Max Rockatansky's Left Sneaker",Clothing,500.00000,1
